,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2023-01-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2023-01-01,2,1,0,0,2,1,3
CONCEPCION,malaria,de 5 anos y mas,2023-01-01,12,29,0,0,12,29,41
CUATRO CAÑADAS,malaria,de 5 anos y mas,2023-01-01,1,2,0,0,1,2,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2023-01-01,5,5,0,0,5,5,10
FILADELFIA,malaria,de 5 anos y mas,2023-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 5 anos y mas,2023-01-01,30,16,0,0,30,16,46
INGAVI (HUMAITA),malaria,de 5 anos y mas,2023-01-01,4,1,0,0,4,1,5
IXIAMAS,malaria,de 5 anos y mas,2023-01-01,33,35,15,3,48,38,86
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2023-01-01,5,4,0,0,5,4,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2023-01-01,3,4,0,0,3,4,7
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2023-01-01,9,2,1,0,10,2,12
PUERTO RICO,malaria,de 5 anos y mas,2023-01-01,26,11,3,1,29,12,41
REYES,malaria,de 5 anos y mas,2023-01-01,6,10,0,0,6,10,16
RIBERALTA,malaria,de 5 anos y mas,2023-01-01,201,130,2,2,203,132,335
RURRENABAQUE,malaria,de 5 anos y mas,2023-01-01,0,1,0,0,0,1,1
SAN BORJA,malaria,de 5 anos y mas,2023-01-01,0,1,0,0,0,1,1
SAN JOAQUIN,malaria,de 5 anos y mas,2023-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2023-01-01,50,36,3,0,53,36,89
SANTA ROSA,malaria,de 5 anos y mas,2023-01-01,10,7,0,0,10,7,17
SENA,malaria,de 5 anos y mas,2023-01-01,41,25,1,0,42,25,67
