,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
PUERTO RICO,malaria,mujer embarazada,2023-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-01-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-02-01,0,6,0,0,0,6,6
SAN LORENZO(PND),malaria,mujer embarazada,2023-02-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2023-02-01,0,4,0,0,0,4,4
RIBERALTA,malaria,mujer embarazada,2023-03-01,0,1,0,4,0,5,5
SENA,malaria,mujer embarazada,2023-03-01,0,1,0,0,0,1,1
TOMINA,malaria,mujer embarazada,2023-03-01,0,1,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),malaria,mujer embarazada,2023-04-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-04-01,0,3,0,0,0,3,3
SENA,malaria,mujer embarazada,2023-04-01,0,3,0,0,0,3,3
TOMINA,malaria,mujer embarazada,2023-04-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,mujer embarazada,2023-04-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2023-05-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-05-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,mujer embarazada,2023-05-01,0,0,0,1,0,1,1
SENA,malaria,mujer embarazada,2023-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2023-06-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2023-06-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-06-01,0,6,0,0,0,6,6
SAN LORENZO(PND),malaria,mujer embarazada,2023-06-01,0,0,0,2,0,2,2
SENA,malaria,mujer embarazada,2023-06-01,0,2,0,3,0,5,5
BELLA FLOR,malaria,mujer embarazada,2023-07-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2023-07-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-07-01,0,1,0,0,0,1,1
REYES,malaria,mujer embarazada,2023-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2023-08-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2023-08-01,0,3,0,0,0,3,3
RIBERALTA,malaria,mujer embarazada,2023-08-01,0,6,0,0,0,6,6
SENA,malaria,mujer embarazada,2023-08-01,0,2,0,0,0,2,2
TARIJA,malaria,mujer embarazada,2023-08-01,0,1,0,0,0,1,1
TOMINA,malaria,mujer embarazada,2023-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,mujer embarazada,2023-09-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2023-09-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2023-09-01,0,1,0,1,0,2,2
PUERTO RICO,malaria,mujer embarazada,2023-09-01,0,2,0,0,0,2,2
REYES,malaria,mujer embarazada,2023-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-09-01,0,5,0,0,0,5,5
GUAYARAMERIN,malaria,mujer embarazada,2023-10-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2023-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-10-01,0,8,0,1,0,9,9
SAN LORENZO(PND),malaria,mujer embarazada,2023-10-01,0,0,0,2,0,2,2
SENA,malaria,mujer embarazada,2023-10-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2023-11-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,mujer embarazada,2023-11-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-11-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2023-11-01,0,12,0,0,0,12,12
SAN LORENZO(PND),malaria,mujer embarazada,2023-11-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2023-12-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2023-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2023-12-01,0,4,0,2,0,6,6
SAN LORENZO(PND),malaria,mujer embarazada,2023-12-01,0,2,0,0,0,2,2
