,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 1 a menores de 5 anos,2023-01-01,8,6,0,0,8,6,14
CONCEPCION,malaria,de 1 a menores de 5 anos,2023-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2023-01-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2023-01-01,1,1,0,1,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2023-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2023-01-01,7,5,0,0,7,5,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2023-01-01,4,2,0,0,4,2,6
SENA,malaria,de 1 a menores de 5 anos,2023-01-01,4,4,0,0,4,4,8
FILADELFIA,malaria,de 1 a menores de 5 anos,2023-02-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2023-02-01,4,3,0,0,4,3,7
RIBERALTA,malaria,de 1 a menores de 5 anos,2023-02-01,3,3,0,0,3,3,6
SANTA ROSA,malaria,de 1 a menores de 5 anos,2023-02-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2023-02-01,3,4,0,0,3,4,7
BELLA FLOR,malaria,de 1 a menores de 5 anos,2023-03-01,0,1,0,0,0,1,1
COBIJA,malaria,de 1 a menores de 5 anos,2023-03-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2023-03-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2023-03-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2023-03-01,6,3,2,0,8,3,11
RIBERALTA,malaria,de 1 a menores de 5 anos,2023-03-01,7,14,1,0,8,14,22
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2023-03-01,9,9,0,0,9,9,18
