,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,3,15,2,33,5,48,53
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,4,0,0,0,4,4
AIQUILE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,1,0,1,0,2,2
ALCALA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,4,0,0,0,4,0,4
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,3,0,0,0,3,3
ANCORAIMES,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,4,3,1,3,5,8
ANZALDO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,0,0,3,0,3,3
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,0,8,7,8,7,15
ARANI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,2,1,2,1,4,5
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,1,5,0,1,1,6,7
ARQUE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,1,2,0,0,1,2,3
ATOCHA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,3,0,0,0,3,3
AYATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,1,0,4,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,0,3,2,2,2,5,7
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2021-01-01,1,0,2,2,3,2,5
