,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,9,0,1,0,10,10
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,43,43,2,7,45,50,95
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,18,50,12,15,30,65,95
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,8,11,3,5,11,16,27
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,12,15,3,1,15,16,31
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,8,14,0,1,8,15,23
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,3,0,3,6,6,12
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,1,1,1,1,2,3
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,9,15,19,19,28,47
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,0,10,0,10,10
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,8,12,8,22,16,38
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,16,5,18,9,34,43
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,10,2,3,4,13,17
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,19,19,5,7,24,26,50
ATOCHA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,6,2,4,3,10,13
AUCAPATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,1,0,0,3,1,4
