,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ARQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,0,1,0,1,0,1
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,4,7,0,3,4,10,14
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,7,21,0,0,7,21,28
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,0,1,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,6,8,0,2,6,10,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,29,21,1,0,30,21,51
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,0,0,3,0,3,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,2,1,0,0,2,1,3
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
