,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-02-01,2,2,0,0,2,2,4
MACHARETI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-02-01,0,2,0,0,0,2,2
MINEROS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-02-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-02-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-03-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-03-01,0,1,0,0,0,1,1
ANTEQUERA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-04-01,4,2,0,0,4,2,6
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-05-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-05-01,0,1,3,18,3,19,22
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-05-01,0,2,0,0,0,2,2
