,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,sr,2021-01-01,0,0,1,0,1,0,1
ANTEQUERA,otras vacunaciones,sr,2021-01-01,2,1,1,3,3,4,7
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-01-01,20,25,16,29,36,54,90
COBIJA,otras vacunaciones,sr,2021-01-01,5,8,0,0,5,8,13
COCHABAMBA,otras vacunaciones,sr,2021-01-01,71,113,0,0,71,113,184
COTAGAITA,otras vacunaciones,sr,2021-01-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,sr,2021-01-01,33,43,2,3,35,46,81
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,sr,2021-01-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,sr,2021-01-01,60,67,12,13,72,80,152
FERNANDEZ ALONSO,otras vacunaciones,sr,2021-01-01,2,3,0,0,2,3,5
HUARACAJE,otras vacunaciones,sr,2021-01-01,1,2,0,0,1,2,3
LA GUARDIA,otras vacunaciones,sr,2021-01-01,17,26,20,26,37,52,89
LA PAZ,otras vacunaciones,sr,2021-01-01,9,6,0,0,9,6,15
LAGUNILLAS,otras vacunaciones,sr,2021-01-01,2,1,0,0,2,1,3
MINEROS,otras vacunaciones,sr,2021-01-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,sr,2021-01-01,0,5,60,1,60,6,66
ORURO,otras vacunaciones,sr,2021-01-01,4,5,0,0,4,5,9
PAILON,otras vacunaciones,sr,2021-01-01,3,6,2,3,5,9,14
PORTACHUELO,otras vacunaciones,sr,2021-01-01,1,8,0,0,1,8,9
POTOSI,otras vacunaciones,sr,2021-01-01,10,9,11,10,21,19,40
PUCARANI,otras vacunaciones,sr,2021-01-01,2,4,5,5,7,9,16
PUNATA,otras vacunaciones,sr,2021-01-01,8,9,1,0,9,9,18
ROBORE,otras vacunaciones,sr,2021-01-01,2,2,0,0,2,2,4
SACABA,otras vacunaciones,sr,2021-01-01,2,6,0,0,2,6,8
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2021-01-01,4,5,0,0,4,5,9
