,group,variable,month,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS FUERA,17.23 COVID 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CABEZAS,otras vacunaciones,covid 1ra dosis,2021-01-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,covid 1ra dosis,2021-01-01,10,5,0,0,10,5,15
COCHABAMBA,otras vacunaciones,covid 1ra dosis,2021-01-01,7,17,0,0,7,17,24
LA PAZ,otras vacunaciones,covid 1ra dosis,2021-01-01,632,674,21,17,653,691,1344
SAN LORENZO(PND),otras vacunaciones,covid 1ra dosis,2021-01-01,0,3,0,0,0,3,3
ANDAMARCA,otras vacunaciones,covid 1ra dosis,2021-02-01,14,24,0,0,14,24,38
ANTEQUERA,otras vacunaciones,covid 1ra dosis,2021-02-01,9,25,0,0,9,25,34
AYO AYO,otras vacunaciones,covid 1ra dosis,2021-02-01,12,11,0,0,12,11,23
BELEN DE ANDAMARCA,otras vacunaciones,covid 1ra dosis,2021-02-01,4,7,0,0,4,7,11
CAJUATA,otras vacunaciones,covid 1ra dosis,2021-02-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,covid 1ra dosis,2021-02-01,11,28,0,0,11,28,39
CAMARGO,otras vacunaciones,covid 1ra dosis,2021-02-01,0,0,16,34,16,34,50
CARACOLLO,otras vacunaciones,covid 1ra dosis,2021-02-01,33,55,0,0,33,55,88
CARAPARI,otras vacunaciones,covid 1ra dosis,2021-02-01,0,0,53,0,53,0,53
CHALLAPATA,otras vacunaciones,covid 1ra dosis,2021-02-01,81,108,0,0,81,108,189
CHARAGUA,otras vacunaciones,covid 1ra dosis,2021-02-01,6,1,0,0,6,1,7
COBIJA,otras vacunaciones,covid 1ra dosis,2021-02-01,220,322,57,68,277,390,667
COCHABAMBA,otras vacunaciones,covid 1ra dosis,2021-02-01,370,937,0,0,370,937,1307
COLLANA,otras vacunaciones,covid 1ra dosis,2021-02-01,3,14,0,0,3,14,17
COLQUENCHA,otras vacunaciones,covid 1ra dosis,2021-02-01,12,26,0,0,12,26,38
CORIPATA,otras vacunaciones,covid 1ra dosis,2021-02-01,17,20,0,0,17,20,37
