,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
GUAQUI,otras vacunaciones,covid 2da dosis,2021-01-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid 2da dosis,2021-01-01,306,331,5,4,311,335,646
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2021-01-01,1,1,0,0,1,1,2
CABEZAS,otras vacunaciones,covid 2da dosis,2021-02-01,0,0,0,2,0,2,2
CARACOLLO,otras vacunaciones,covid 2da dosis,2021-02-01,10,11,0,0,10,11,21
COBIJA,otras vacunaciones,covid 2da dosis,2021-02-01,90,156,0,0,90,156,246
COCHABAMBA,otras vacunaciones,covid 2da dosis,2021-02-01,315,810,0,0,315,810,1125
EL ALTO,otras vacunaciones,covid 2da dosis,2021-02-01,145,309,0,0,145,309,454
GUAYARAMERIN,otras vacunaciones,covid 2da dosis,2021-02-01,2,4,0,0,2,4,6
INQUISIVI,otras vacunaciones,covid 2da dosis,2021-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid 2da dosis,2021-02-01,59,156,20,17,79,173,252
ORURO,otras vacunaciones,covid 2da dosis,2021-02-01,200,268,0,0,200,268,468
RIBERALTA,otras vacunaciones,covid 2da dosis,2021-02-01,31,35,0,0,31,35,66
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2021-02-01,0,3,0,1,0,4,4
SAN LORENZO(PND),otras vacunaciones,covid 2da dosis,2021-02-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,covid 2da dosis,2021-02-01,0,10,0,0,0,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2021-02-01,72,119,0,0,72,119,191
SUCRE,otras vacunaciones,covid 2da dosis,2021-02-01,197,302,8,18,205,320,525
TARIJA,otras vacunaciones,covid 2da dosis,2021-02-01,258,136,0,0,258,136,394
TRINIDAD,otras vacunaciones,covid 2da dosis,2021-02-01,0,2,8,4,8,6,14
VILLA MONTES,otras vacunaciones,covid 2da dosis,2021-02-01,13,17,0,0,13,17,30
