,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,0,7,0,0,0,7,7
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,5,0,0,1,5,6
ALTO BENI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,0,3,0,0,0,3,3
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,4,6,0,0,4,6,10
ANDAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
ARBIETO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,4,0,0,1,4,5
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,2,3,0,0,2,3,5
AYATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,7,9,0,0,7,9,16
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,4,0,0,1,4,5
BETANZOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,4,2,0,0,4,2,6
BOLIVAR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
