,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,3,0,1,0,4,4
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,3,10,0,1,3,11,14
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,3,39,36,9,39,48,87
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,4,5,1,0,5,5,10
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,10,0,1,0,11,11
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,3,10,11,4,14,14,28
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,1,2,3,2,4,6
ANTEQUERA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,0,0,3,0,3,3
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,4,14,8,13,12,27,39
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,1,0,1,0,2,2
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,4,11,3,3,7,14,21
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,5,11,5,10,10,21,31
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,2,5,2,2,4,7,11
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,18,18,9,10,27,28,55
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2021-01-01,0,4,4,4,4,8,12
