,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,8,26,10,16,18,42,60
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,2,7,0,1,2,8,10
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,2,6,0,1,2,7,9
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,1,1,0,0,1,1,2
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
ANTEQUERA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,0,0,2,0,2,2
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,1,1,3,4,4,5,9
ARANI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,2,1,1,4,3,5,8
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,2,8,1,2,3,10,13
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,3,0,1,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,1,13,0,3,1,16,17
ATOCHA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,2,0,1,0,3,3
AYATA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,0,0,5,0,5,5
AYO AYO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2021-01-01,0,7,4,5,4,12,16
