,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BATALLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,3,2,1,0,4,2,6
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,1,4,0,0,1,4,5
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,4,12,0,0,4,12,16
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,0,0,2,1,2,1,3
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,2,1,7,12,9,13,22
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,0,0,3,0,3,0,3
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,5,12,0,0,5,12,17
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,6,13,0,0,6,13,19
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,4,3,0,0,4,3,7
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
