,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,2,0,3,3
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,3,0,6,0,9,9
ACHOCALLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,8,0,9,9
ANTEQUERA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,6,0,7,7
ARQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,3,0,4,4
AUCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,0,0,1,0,1,1
AZURDUY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,23,0,3,0,26,26
BERMEJO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,0,0,1,0,1,1
CAIROMA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,3,0,4,4
CAJUATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,31,0,0,0,31,31
CALAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,2,0,11,0,13,13
CAMARGO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2021-01-01,0,1,0,0,0,1,1
