,group,variable,month,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO FUERA,17.26 COVID DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
LA PAZ,otras vacunaciones,covid dosis de refuerzo,2021-02-01,80.0,131.0,0.0,0.0,80.0,131.0,211.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-04-01,19.0,22.0,3.0,7.0,22.0,29.0,51.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-07-01,203.0,208.0,5.0,3.0,208.0,211.0,419.0
SUCRE,otras vacunaciones,covid dosis de refuerzo,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-08-01,29.0,19.0,0.0,0.0,29.0,19.0,48.0
GUAYARAMERIN,otras vacunaciones,covid dosis de refuerzo,2021-08-01,48.0,57.0,0.0,0.0,48.0,57.0,105.0
RIBERALTA,otras vacunaciones,covid dosis de refuerzo,2021-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-09-01,16.0,32.0,0.0,0.0,16.0,32.0,48.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-09-01,2.0,5.0,39.0,69.0,41.0,74.0,115.0
GUAYARAMERIN,otras vacunaciones,covid dosis de refuerzo,2021-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA PAZ,otras vacunaciones,covid dosis de refuerzo,2021-09-01,6.0,6.0,0.0,0.0,6.0,6.0,12.0
RIBERALTA,otras vacunaciones,covid dosis de refuerzo,2021-09-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
ROBORE,otras vacunaciones,covid dosis de refuerzo,2021-09-01,14.0,11.0,0.0,0.0,14.0,11.0,25.0
AIQUILE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,415.0,494.0,21.0,19.0,436.0,513.0,949.0
