,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,4,0,9,9
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,39,0,0,0,39,39
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,12,0,1,0,13,13
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,13,0,1,0,14,14
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,0,0,6,6
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,4,0,6,6
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,0,0,6,6
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,1,0,3,3
CALAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
CAQUIAVIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,7,0,0,0,7,7
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,20,0,0,0,20,20
CARANAVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,73,0,0,0,73,73
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,22,0,7,0,29,29
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,11,0,1,0,12,12
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,25,0,1,0,26,26
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,2,0,2,2
