,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,13,19,10,22,23,41,64
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,54,55,154,95,208,150,358
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,2,1,2,3
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,5,53,7,56,12,68
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,22,22,122,236,144,258,402
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,0,1,0,1
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,6,2,6,6,12,18
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,0,2,13,5,13,18
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,0,11,23,12,23,35
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,1,14,21,15,22,37
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,4,2,11,6,15,21
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,4,2,1,4,5,9
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,18,4,6,8,24,32
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,13,26,2,4,15,30,45
