,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
ARBIETO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,2,0,2,2
ARQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,3,2,4,2,6
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,8,0,0,1,8,9
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,4,0,0,0,4,4
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,0,0,0,2,0,2
BETANZOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CAIROMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
