,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,3,17,1,9,4,26,30
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,4,14,3,2,7,16,23
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,2,12,0,0,2,12,14
ALCALA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,0,1,0,1,0,2,2
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,0,1,2,4,2,5,7
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,6,13,1,0,7,13,20
ANDAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,3,0,0,1,3,1,4
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,3,3,7,18,10,21,31
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,9,1,4,2,13,15
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,0,8,4,7,4,15,19
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,4,3,4,4,8,12
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,11,0,7,1,18,19
ATOCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,0,1,4,2,4,6
AUCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,2,0,0,1,2,3
AYATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,1,5,0,3,1,8,9
AYO AYO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
