,group,variable,month,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-04-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-05-01,0.0,0.0,0.0,15.0,0.0,15.0,15.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-05-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-05-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2021-06-01,9.0,5.0,0.0,0.0,9.0,5.0,14.0
