,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
TOMAVE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-01-01,0,0,2,3,2,3,5
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-01-01,0,5,0,0,0,5,5
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-01-01,3,4,0,0,3,4,7
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-02-01,7,11,0,0,7,11,18
MACHARETI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-02-01,0,2,0,0,0,2,2
ANTEQUERA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-03-01,1,0,0,0,1,0,1
MINEROS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-03-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-03-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,2,2,0,0,2,2,4
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,10,16,0,0,10,16,26
