,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,3,1,0,0,3,1,4
ARBIETO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,0,0,3,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,2,0,2,1,3
CALAMARCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,1,4,0,0,1,4,5
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,2,2,0,0,2,2,4
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,2,10,0,0,2,10,12
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2021-01-01,10,15,0,0,10,15,25
