,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,13,14,30,32,43,46,89
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,11,11,14,14,25,25,50
ANCORAIMES,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,3,3,33,41,36,44,80
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,0,1,6,5,6,6,12
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,11,8,11,17,22,25,47
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,15,12,20,17,35,29,64
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,3,7,4,5,7,12,19
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,51,50,7,10,58,60,118
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,1,0,4,5,5,5,10
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,5,7,5,5,10,12,22
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,1,1,2,4,3,5,8
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,7,1,0,0,7,1,8
"CAIZA ""D""",otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,1,0,11,9,12,9,21
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,6,13,7,14,13,27,40
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,17,8,0,0,17,8,25
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,3,7,0,1,3,8,11
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2021-01-01,8,11,7,5,15,16,31
