,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,1,1,1,3,2,4,6
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,42,35,9,14,51,49,100
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,1,0,9,8,10,8,18
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,27,27,0,0,27,27,54
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,3,5,0,1,3,6,9
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,4,2,0,3,4,5,9
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,5,2,5,2,7
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,58,60,4,5,62,65,127
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,9,21,2,4,11,25,36
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,100,59,193,132,293,191,484
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,3,2,0,0,3,2,5
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,14,34,5,5,19,39,58
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,11,12,0,0,11,12,23
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,1,3,1,3,2,5
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,33,6,0,0,33,6,39
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,2,3,0,0,2,3,5
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,16,20,0,0,16,20,36
