,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,0,0,1,0,1,1
AYO AYO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,3,6,0,0,3,6,9
BELEN DE URMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,0,1,0,1,0,1
BETANZOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,6,0,0,0,6,0,6
CABEZAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,0,0,6,0,6,6
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,10,5,0,0,10,5,15
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,3,0,0,0,3,0,3
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,4,0,5,5
COMANCHE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,5,2,0,0,5,2,7
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,3,0,4,2,7,2,9
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2021-01-01,13,39,9,8,22,47,69
