,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,3,3,0,0,3,3,6
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,0,1,1,1,1,2
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,1,3,0,0,1,3,4
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,3,14,0,0,3,14,17
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,1,4,0,0,1,4,5
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,2,2,0,0,2,2,4
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,1,7,0,0,1,7,8
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,5,8,0,0,5,8,13
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,0,3,0,3,0,3
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,7,2,0,0,7,2,9
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,1,0,0,0,1,1
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,14,17,2,3,16,20,36
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,41,67,0,0,41,67,108
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personal de salud,2021-01-01,3,1,0,0,3,1,4
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2021-01-01,1,1,0,0,1,1,2
