,group,variable,month,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA FUERA,17.25 COVID DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
LA PAZ,otras vacunaciones,covid dosis unica,2021-01-01,185.0,216.0,69.0,48.0,254.0,264.0,518.0
EL ALTO,otras vacunaciones,covid dosis unica,2021-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL ALTO,otras vacunaciones,covid dosis unica,2021-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,covid dosis unica,2021-05-01,2000.0,1414.0,0.0,0.0,2000.0,1414.0,3414.0
PUCARA,otras vacunaciones,covid dosis unica,2021-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,otras vacunaciones,covid dosis unica,2021-05-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
BATALLAS,otras vacunaciones,covid dosis unica,2021-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ANZALDO,otras vacunaciones,covid dosis unica,2021-07-01,95.0,59.0,0.0,0.0,95.0,59.0,154.0
ARANI,otras vacunaciones,covid dosis unica,2021-07-01,35.0,35.0,0.0,0.0,35.0,35.0,70.0
ARBIETO,otras vacunaciones,covid dosis unica,2021-07-01,148.0,167.0,0.0,0.0,148.0,167.0,315.0
ATOCHA,otras vacunaciones,covid dosis unica,2021-07-01,7.0,6.0,19.0,26.0,26.0,32.0,58.0
BOYUIBE,otras vacunaciones,covid dosis unica,2021-07-01,412.0,343.0,33.0,7.0,445.0,350.0,795.0
CAMIRI,otras vacunaciones,covid dosis unica,2021-07-01,0.0,0.0,613.0,667.0,613.0,667.0,1280.0
CARMEN RIVERO TORREZ,otras vacunaciones,covid dosis unica,2021-07-01,155.0,150.0,0.0,0.0,155.0,150.0,305.0
CHALLAPATA,otras vacunaciones,covid dosis unica,2021-07-01,661.0,764.0,10.0,13.0,671.0,777.0,1448.0
CHAQUI,otras vacunaciones,covid dosis unica,2021-07-01,19.0,19.0,70.0,89.0,89.0,108.0,197.0
CHARAGUA,otras vacunaciones,covid dosis unica,2021-07-01,0.0,0.0,22.0,18.0,22.0,18.0,40.0
