,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,a baja,2013-01-01,5,12,23,22,21,20,49,54,103
ACHACACHI,estado nutricional,a baja,2013-01-01,15,11,21,16,20,12,56,39,95
ACHOCALLA,estado nutricional,a baja,2013-01-01,5,4,25,6,4,4,34,14,48
AIQUILE,estado nutricional,a baja,2013-01-01,7,6,20,18,22,20,49,44,93
ALALAY,estado nutricional,a baja,2013-01-01,9,4,11,3,9,6,29,13,42
ALCALA,estado nutricional,a baja,2013-01-01,0,0,2,2,13,9,15,11,26
ALTO BENI,estado nutricional,a baja,2013-01-01,1,1,14,2,6,11,21,14,35
ANCORAIMES,estado nutricional,a baja,2013-01-01,14,6,28,18,24,21,66,45,111
ANDAMARCA,estado nutricional,a baja,2013-01-01,2,4,8,3,19,12,29,19,48
ANTEQUERA,estado nutricional,a baja,2013-01-01,3,4,2,0,2,2,7,6,13
ANZALDO,estado nutricional,a baja,2013-01-01,5,2,11,11,14,17,30,30,60
APOLO,estado nutricional,a baja,2013-01-01,6,3,28,16,20,18,54,37,91
ARAMPAMPA,estado nutricional,a baja,2013-01-01,4,2,11,9,7,11,22,22,44
ARANI,estado nutricional,a baja,2013-01-01,1,6,22,10,20,15,43,31,74
ARBIETO,estado nutricional,a baja,2013-01-01,3,3,13,12,18,19,34,34,68
ARQUE,estado nutricional,a baja,2013-01-01,18,16,58,44,36,42,112,102,214
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-01-01,5,3,11,11,15,9,31,23,54
ATOCHA,estado nutricional,a baja,2013-01-01,7,5,13,11,19,14,39,30,69
AUCAPATA,estado nutricional,a baja,2013-01-01,1,0,9,6,3,6,13,12,25
AYATA,estado nutricional,a baja,2013-01-01,7,1,36,16,12,15,55,32,87
AYO AYO,estado nutricional,a baja,2013-01-01,12,11,36,12,12,17,60,40,100
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-01-01,18,15,43,34,47,27,108,76,184
AZURDUY,estado nutricional,a baja,2013-01-01,6,7,21,20,54,42,81,69,150
BATALLAS,estado nutricional,a baja,2013-01-01,16,4,18,15,3,8,37,27,64
BAURES,estado nutricional,a baja,2013-01-01,1,1,2,1,3,1,6,3,9
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-01-01,3,0,4,1,4,2,11,3,14
BELEN DE URMIRI,estado nutricional,a baja,2013-01-01,4,3,5,5,1,2,10,10,20
BELLA FLOR,estado nutricional,a baja,2013-01-01,1,0,4,0,7,1,12,1,13
BERMEJO,estado nutricional,a baja,2013-01-01,7,2,4,7,7,11,18,20,38
BETANZOS,estado nutricional,a baja,2013-01-01,44,25,62,56,98,73,204,154,358
BOLIVAR,estado nutricional,a baja,2013-01-01,22,9,20,21,41,24,83,54,137
BOLPEBRA,estado nutricional,a baja,2013-01-01,0,1,1,4,7,6,8,11,19
BOYUIBE,estado nutricional,a baja,2013-01-01,0,0,1,2,1,3,2,5,7
BUENA VISTA,estado nutricional,a baja,2013-01-01,3,2,3,5,4,0,10,7,17
CABEZAS,estado nutricional,a baja,2013-01-01,2,0,4,4,5,4,11,8,19
CAIROMA,estado nutricional,a baja,2013-01-01,11,4,19,16,16,15,46,35,81
"CAIZA ""D""",estado nutricional,a baja,2013-01-01,3,1,12,10,14,7,29,18,47
CAJUATA,estado nutricional,a baja,2013-01-01,0,1,2,1,1,1,3,3,6
CALACOTO,estado nutricional,a baja,2013-01-01,0,2,2,2,3,3,5,7,12
CALAMARCA,estado nutricional,a baja,2013-01-01,13,8,29,23,24,24,66,55,121
CAMARGO,estado nutricional,a baja,2013-01-01,10,2,30,15,46,50,86,67,153
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-01-01,0,0,3,2,14,6,17,8,25
CAMIRI,estado nutricional,a baja,2013-01-01,5,2,1,5,11,9,17,16,33
CAPINOTA,estado nutricional,a baja,2013-01-01,4,2,13,7,10,5,27,14,41
CAQUIAVIRI,estado nutricional,a baja,2013-01-01,7,4,8,12,6,3,21,19,40
CARACOLLO,estado nutricional,a baja,2013-01-01,20,9,36,19,27,31,83,59,142
CARANAVI,estado nutricional,a baja,2013-01-01,8,7,41,23,30,48,79,78,157
CARANGAS,estado nutricional,a baja,2013-01-01,1,0,0,0,0,0,1,0,1
CARAPARI,estado nutricional,a baja,2013-01-01,5,0,4,2,6,3,15,5,20
CARIPUYO,estado nutricional,a baja,2013-01-01,16,7,32,28,50,52,98,87,185
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-01-01,1,1,0,0,2,0,3,1,4
CATACORA,estado nutricional,a baja,2013-01-01,2,4,5,2,3,1,10,7,17
CHACARILLA,estado nutricional,a baja,2013-01-01,2,0,2,0,2,8,6,8,14
CHALLAPATA,estado nutricional,a baja,2013-01-01,39,18,72,33,57,56,168,107,275
CHAQUI,estado nutricional,a baja,2013-01-01,5,4,20,12,17,14,42,30,72
CHARAGUA,estado nutricional,a baja,2013-01-01,9,4,21,13,30,23,60,40,100
CHARAÑA,estado nutricional,a baja,2013-01-01,3,1,3,4,3,3,9,8,17
CHAYANTA,estado nutricional,a baja,2013-01-01,18,16,55,35,37,30,110,81,191
CHIMORE,estado nutricional,a baja,2013-01-01,3,6,5,4,9,5,17,15,32
CHIPAYA,estado nutricional,a baja,2013-01-01,1,0,5,2,8,9,14,11,25
CHOQUE COTA,estado nutricional,a baja,2013-01-01,0,0,1,0,0,1,1,1,2
CHUA COCANI,estado nutricional,a baja,2013-01-01,1,0,2,3,5,2,8,5,13
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-01-01,0,2,2,1,4,3,6,6,12
CHUMA,estado nutricional,a baja,2013-01-01,10,6,18,22,24,14,52,42,94
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-01-01,4,3,15,12,11,6,30,21,51
CKOCHAS,estado nutricional,a baja,2013-01-01,29,23,54,34,65,36,148,93,241
CLIZA,estado nutricional,a baja,2013-01-01,7,3,9,2,7,6,23,11,34
COBIJA,estado nutricional,a baja,2013-01-01,15,16,19,14,23,17,57,47,104
COCAPATA,estado nutricional,a baja,2013-01-01,13,9,52,37,45,58,110,104,214
COCHABAMBA,estado nutricional,a baja,2013-01-01,70,70,165,142,119,156,354,368,722
COIPASA,estado nutricional,a baja,2013-01-01,0,0,0,0,0,1,0,1,1
COLCAPIRHUA,estado nutricional,a baja,2013-01-01,5,3,8,7,3,1,16,11,27
"COLCHA ""K""",estado nutricional,a baja,2013-01-01,3,2,17,8,5,12,25,22,47
COLLANA,estado nutricional,a baja,2013-01-01,4,0,2,0,1,4,7,4,11
COLOMI,estado nutricional,a baja,2013-01-01,12,9,44,16,24,27,80,52,132
COLPA BELGICA,estado nutricional,a baja,2013-01-01,1,0,0,0,0,0,1,0,1
COLQUECHACA,estado nutricional,a baja,2013-01-01,63,53,149,112,64,66,276,231,507
COLQUENCHA,estado nutricional,a baja,2013-01-01,9,6,25,6,11,8,45,20,65
COLQUIRI,estado nutricional,a baja,2013-01-01,8,5,14,8,24,13,46,26,72
COMANCHE,estado nutricional,a baja,2013-01-01,3,4,4,7,6,5,13,16,29
COMARAPA,estado nutricional,a baja,2013-01-01,7,2,12,3,9,9,28,14,42
COMBAYA,estado nutricional,a baja,2013-01-01,2,0,1,4,4,2,7,6,13
CONCEPCION,estado nutricional,a baja,2013-01-01,5,0,12,5,3,4,20,9,29
