,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,a normal,2013-01-01,43,35,24,26,29,32,96,93,189
ACHACACHI,estado nutricional,a normal,2013-01-01,209,207,165,165,128,126,502,498,1000
ACHOCALLA,estado nutricional,a normal,2013-01-01,98,92,61,74,64,56,223,222,445
AIQUILE,estado nutricional,a normal,2013-01-01,235,199,177,194,137,150,549,543,1092
ALALAY,estado nutricional,a normal,2013-01-01,26,27,6,17,15,11,47,55,102
ALCALA,estado nutricional,a normal,2013-01-01,35,32,22,26,49,40,106,98,204
ALTO BENI,estado nutricional,a normal,2013-01-01,111,74,95,98,83,87,289,259,548
ANCORAIMES,estado nutricional,a normal,2013-01-01,60,66,65,51,88,97,213,214,427
ANDAMARCA,estado nutricional,a normal,2013-01-01,30,38,36,27,40,65,106,130,236
ANTEQUERA,estado nutricional,a normal,2013-01-01,19,33,22,16,14,16,55,65,120
ANZALDO,estado nutricional,a normal,2013-01-01,64,56,60,51,51,50,175,157,332
APOLO,estado nutricional,a normal,2013-01-01,178,209,126,139,140,110,444,458,902
ARAMPAMPA,estado nutricional,a normal,2013-01-01,43,37,16,28,48,36,107,101,208
ARANI,estado nutricional,a normal,2013-01-01,127,93,83,99,90,69,300,261,561
ARBIETO,estado nutricional,a normal,2013-01-01,119,142,116,113,124,134,359,389,748
ARQUE,estado nutricional,a normal,2013-01-01,116,104,101,80,81,80,298,264,562
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-01-01,227,238,146,169,106,105,479,512,991
ATOCHA,estado nutricional,a normal,2013-01-01,74,82,89,78,90,78,253,238,491
AUCAPATA,estado nutricional,a normal,2013-01-01,29,47,22,39,17,15,68,101,169
AYATA,estado nutricional,a normal,2013-01-01,60,73,62,48,30,17,152,138,290
AYO AYO,estado nutricional,a normal,2013-01-01,50,72,45,63,27,23,122,158,280
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-01-01,223,236,197,196,174,124,594,556,1150
AZURDUY,estado nutricional,a normal,2013-01-01,80,76,62,59,96,83,238,218,456
BATALLAS,estado nutricional,a normal,2013-01-01,116,138,99,89,73,95,288,322,610
BAURES,estado nutricional,a normal,2013-01-01,36,41,23,22,43,31,102,94,196
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-01-01,23,18,11,9,27,16,61,43,104
BELEN DE URMIRI,estado nutricional,a normal,2013-01-01,14,12,9,13,11,10,34,35,69
BELLA FLOR,estado nutricional,a normal,2013-01-01,28,17,12,21,22,30,62,68,130
BERMEJO,estado nutricional,a normal,2013-01-01,209,266,163,181,115,121,487,568,1055
BETANZOS,estado nutricional,a normal,2013-01-01,252,248,201,220,170,191,623,659,1282
BOLIVAR,estado nutricional,a normal,2013-01-01,73,33,31,27,50,53,154,113,267
BOLPEBRA,estado nutricional,a normal,2013-01-01,23,14,11,12,14,23,48,49,97
BOYUIBE,estado nutricional,a normal,2013-01-01,27,22,21,25,34,35,82,82,164
BUENA VISTA,estado nutricional,a normal,2013-01-01,81,98,113,77,83,68,277,243,520
CABEZAS,estado nutricional,a normal,2013-01-01,141,154,108,106,107,113,356,373,729
CAIROMA,estado nutricional,a normal,2013-01-01,61,65,55,63,49,59,165,187,352
"CAIZA ""D""",estado nutricional,a normal,2013-01-01,72,56,55,38,51,52,178,146,324
CAJUATA,estado nutricional,a normal,2013-01-01,75,70,51,55,56,48,182,173,355
CALACOTO,estado nutricional,a normal,2013-01-01,36,35,21,30,16,13,73,78,151
CALAMARCA,estado nutricional,a normal,2013-01-01,84,81,62,77,48,54,194,212,406
CAMARGO,estado nutricional,a normal,2013-01-01,137,126,76,95,91,106,304,327,631
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-01-01,20,28,26,20,46,24,92,72,164
CAMIRI,estado nutricional,a normal,2013-01-01,359,272,249,207,264,236,872,715,1587
CAPINOTA,estado nutricional,a normal,2013-01-01,66,50,40,44,38,35,144,129,273
CAQUIAVIRI,estado nutricional,a normal,2013-01-01,59,43,35,42,38,17,132,102,234
CARACOLLO,estado nutricional,a normal,2013-01-01,166,160,129,115,136,143,431,418,849
CARANAVI,estado nutricional,a normal,2013-01-01,369,333,283,249,181,212,833,794,1627
CARANGAS,estado nutricional,a normal,2013-01-01,1,2,4,2,2,3,7,7,14
CARAPARI,estado nutricional,a normal,2013-01-01,136,145,112,96,104,105,352,346,698
CARIPUYO,estado nutricional,a normal,2013-01-01,55,84,35,54,37,42,127,180,307
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-01-01,38,31,17,13,22,26,77,70,147
CATACORA,estado nutricional,a normal,2013-01-01,2,5,7,3,4,7,13,15,28
CHACARILLA,estado nutricional,a normal,2013-01-01,6,1,5,2,6,5,17,8,25
CHALLAPATA,estado nutricional,a normal,2013-01-01,307,330,200,204,152,140,659,674,1333
CHAQUI,estado nutricional,a normal,2013-01-01,70,61,57,33,28,27,155,121,276
CHARAGUA,estado nutricional,a normal,2013-01-01,205,184,153,152,252,218,610,554,1164
CHARAÑA,estado nutricional,a normal,2013-01-01,8,12,14,11,11,19,33,42,75
CHAYANTA,estado nutricional,a normal,2013-01-01,93,93,66,74,40,55,199,222,421
CHIMORE,estado nutricional,a normal,2013-01-01,124,71,73,69,86,75,283,215,498
CHIPAYA,estado nutricional,a normal,2013-01-01,15,16,16,12,29,15,60,43,103
CHOQUE COTA,estado nutricional,a normal,2013-01-01,7,9,10,4,9,10,26,23,49
CHUA COCANI,estado nutricional,a normal,2013-01-01,8,10,10,4,15,8,33,22,55
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-01-01,81,87,55,45,39,46,175,178,353
CHUMA,estado nutricional,a normal,2013-01-01,57,54,65,65,38,27,160,146,306
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-01-01,48,39,38,24,24,28,110,91,201
CKOCHAS,estado nutricional,a normal,2013-01-01,122,98,92,84,61,68,275,250,525
CLIZA,estado nutricional,a normal,2013-01-01,227,182,147,96,129,134,503,412,915
COBIJA,estado nutricional,a normal,2013-01-01,471,453,278,285,248,255,997,993,1990
COCAPATA,estado nutricional,a normal,2013-01-01,119,106,94,97,86,91,299,294,593
COCHABAMBA,estado nutricional,a normal,2013-01-01,3454,3144,2155,1995,1305,1215,6914,6354,13268
COIPASA,estado nutricional,a normal,2013-01-01,5,7,7,6,12,15,24,28,52
COLCAPIRHUA,estado nutricional,a normal,2013-01-01,282,248,193,181,132,150,607,579,1186
"COLCHA ""K""",estado nutricional,a normal,2013-01-01,103,127,81,80,67,72,251,279,530
COLLANA,estado nutricional,a normal,2013-01-01,21,10,13,11,18,17,52,38,90
COLOMI,estado nutricional,a normal,2013-01-01,159,167,126,110,81,97,366,374,740
COLPA BELGICA,estado nutricional,a normal,2013-01-01,15,9,1,0,5,2,21,11,32
COLQUECHACA,estado nutricional,a normal,2013-01-01,252,248,182,186,82,102,516,536,1052
COLQUENCHA,estado nutricional,a normal,2013-01-01,56,53,47,75,26,37,129,165,294
COLQUIRI,estado nutricional,a normal,2013-01-01,162,140,86,110,70,81,318,331,649
COMANCHE,estado nutricional,a normal,2013-01-01,20,7,26,15,15,8,61,30,91
COMARAPA,estado nutricional,a normal,2013-01-01,134,88,93,84,66,58,293,230,523
COMBAYA,estado nutricional,a normal,2013-01-01,12,8,12,10,11,11,35,29,64
CONCEPCION,estado nutricional,a normal,2013-01-01,116,144,56,67,46,41,218,252,470
