,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,1,1,3,1,6
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,15,11,12,3,41
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,9,8,7,3,27
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,14,8,9,9,40
ALALAY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,2,2,0,2,6
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,5,11,1,2,19
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,4,8,2,3,17
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,3,0,1,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,4,2,16,4,26
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,8,13,1,1,23
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,1,1,3,4,9
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,10,10,0,0,20
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,14,14,7,4,39
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,4,3,2,3,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,28,33,3,3,67
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,7,6,1,1,15
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,3,0,2,0,5
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,4,2,2,7,15
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,5,5,1,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,11,16,10,5,42
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,8,6,1,4,19
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,9,8,7,5,29
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,8,2,0,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2016-01-01,1,0,0,0,1
