,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,16,6,10,44
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,13,5,3,11,32
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,21,7,4,40
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,3,0,3
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,2,0,0,7
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,10,1,1,21
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,4,2,2,11
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,0,0,4
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,2,0,0,9
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,4,3,10
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,13,16,2,2,33
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,3,0,6
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,17,9,2,0,28
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,14,2,6,34
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,9,0,0,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,23,41,3,1,68
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,7,4,0,17
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,2,3,9
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,11,3,2,19
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,4,2,2,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,12,12,4,39
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,4,7,6,24
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,10,4,5,26
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,5,0,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,1,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,2,3,8
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,29,31,4,4,68
