,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,16,6,10,44
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,5,3,11,32
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,21,7,4,41
ALALAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,4,0,4
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,2,0,0,7
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,10,1,1,21
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,4,2,2,11
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,2,0,0,4
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,2,0,0,9
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,1,1,5
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,16,16,2,2,36
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,2,3,0,6
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,4,2,1,14
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,14,4,4,34
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,9,0,0,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,24,45,3,1,73
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,2,1,11
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,2,3,9
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,11,3,2,19
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,4,2,2,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,12,11,4,38
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,4,7,6,24
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,10,4,5,27
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,5,0,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,1,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,2,3,8
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,33,31,4,4,72
