,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,3,1,6
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,15,12,12,3,42
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,9,7,3,28
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,15,9,8,8,40
ALALAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,0,2,6
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,11,1,2,18
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,8,4,5,21
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,0,1,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,2,3,1,10
APOLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,13,1,1,23
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,3,4,9
ARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,17,10,0,0,27
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,14,14,7,4,39
ARQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,3,2,3,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,30,35,0,0,65
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,5,0,1,13
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,0,2,0,5
AYATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,2,2,7,15
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,5,1,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,14,12,4,42
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,6,1,4,19
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,8,7,5,29
BAURES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,2,0,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,3,5,2,10
