,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,2,3,3,10
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2016-01-01,19,15,6,9,49
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,9,4,2,23
AIQUILE,vacunaciones en menores de 1 ano,bcg,2016-01-01,18,20,0,2,40
ALALAY,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,1,2
ALCALA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,0,1,5
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,6,0,0,12
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,0,10,11,23
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,1,0,2
ANZALDO,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,3,3,3,13
APOLO,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,13,3,6,33
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,2,3,5
ARANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,14,9,0,0,23
ARBIETO,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,7,10,5,32
ARQUE,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,4,4,3,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2016-01-01,30,31,0,4,65
ATOCHA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,0,0,6
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,3,2,9
AYATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,0,2,0,5
AYO AYO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,3,4,1,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2016-01-01,7,13,7,1,28
AZURDUY,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,3,1,10
BATALLAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,10,1,2,24
BAURES,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,0,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,3,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,0,0,2
BERMEJO,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,18,0,0,33
BETANZOS,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,12,9,9,39
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,1,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,1,2,9
CABEZAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,14,13,13,14,54
CAIROMA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,4,4,4,15
