,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,2,1,4,3,10
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,18,13,10,10,51
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,10,8,4,14,36
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,25,12,8,7,52
ALALAY,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,0,2,1,1,4
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,2,1,0,1,4
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,11,8,2,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,11,6,5,6,28
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,3,1,0,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,1,4,2,1,8
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,19,14,1,3,37
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,1,4,2,3,10
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,7,4,5,0,16
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,18,13,5,2,38
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,10,7,3,3,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,25,27,3,4,59
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,7,7,1,0,15
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,7,1,0,4,12
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,1,2,2,0,5
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,3,4,2,2,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,4,6,2,0,12
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,5,11,5,4,25
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,10,13,3,3,29
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,2,3,0,0,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 1ra dosis,2016-01-01,1,0,4,1,6
