,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,1,0,4,3,8
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,18,12,10,10,50
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,7,2,4,14,27
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,24,11,6,6,47
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,0,2,1,1,4
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,2,1,0,1,4
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,11,8,2,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,8,6,5,5,24
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,3,1,0,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,1,4,1,1,7
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,19,8,1,2,30
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,1,4,2,3,10
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,7,4,5,0,16
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,18,13,5,2,38
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,10,7,3,3,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,26,26,1,1,54
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,7,6,1,1,15
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,7,1,0,4,12
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,1,2,2,0,5
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,3,2,2,2,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,15,14,6,3,38
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,5,11,5,4,25
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,10,12,3,3,28
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,2,3,0,0,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,1,0,4,1,6
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2016-01-01,3,1,3,0,7
