municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ANCORAIMES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
AZURDUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,5,5
CARACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
CHIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,113,113
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,11,11
COPACABANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
CUEVO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,43,43
ESCOMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,8,8
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
HUMANATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,93,93
LAJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,4,4
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,24,24
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,5,5
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,26,26
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,8,8
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,12,12
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,4,4
SAMAIPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,161,161
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,22,22
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,19,19
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,13,13
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,3,3
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
VIACHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,7,7
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,6,6
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2010-01-01,2,2
