,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,5,5,12
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,5,4,1,8,18
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,1,3
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,1,1,0,4
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,10,8,18
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,0,3,3
ARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,0,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,1,12,10,23
ARQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,5,6,0,1,12
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,3,1,0,5
AYATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,2,3,1,7
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,1,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,3,6,3,15,27
BAURES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,3,4
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,1,3,6
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,3,1,0,0,4
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,3,1,1,2,7
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,11,9,12,7,39
