,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,0,0,0,2
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,7,3,0,0,10
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,3,1,4
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,3,1,0,4
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,1,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,5,6
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,63,38,22,17,140
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,3,1,0,0,4
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,3,2,0,1,6
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,2,3
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,4,5,0,0,9
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,4,0,1,0,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,52,62,8,16,138
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,6,1,0,0,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,1,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,2,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,3,2,1,0,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,1,0,1,4
