,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,6,5,5,1,17
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,2,1,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,7,14,5,5,31
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,2,0,0,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,2,1,1,4
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,7,8,0,0,15
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,2,4,0,0,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,9,1,1,1,12
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,3,2,0,0,5
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,3,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,17,19,1,1,38
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,1,0,1,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,1,4,0,6
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,3,2,0,0,5
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,1,1,1,0,3
