,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,3,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,4,3,4,11
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,2,3
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,3,0,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,1,0,1,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,3,3,2,0,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,7,3,0,0,10
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,4,13,6,5,28
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,2,0,0,2
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,1,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,3,2,0,1,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,1,1,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,2,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,15,17,0,0,32
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,1,1,0,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,1,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,2,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,6,0,0,7
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,9,7,3,3,22
