,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,1,2
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,4,1,0,0,5
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,3,1,0,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,1,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,5,5
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,48,36,17,9,110
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,0,0,2
COLLANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,5,5,0,0,10
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,1,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,1,1,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,4,5,0,0,9
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,1,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,36,44,12,17,109
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,6,2,0,0,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,1,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,1,1,0,4
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,0,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,3,1,0,5
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,18,21,0,0,39
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,0,1
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,0,1,0,3
