,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,4,3,4,11
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,3,0,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,1,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,4,4,2,0,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,2,0,0,0,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,4,13,6,4,27
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,2,0,0,2
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,1,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,3,2,0,1,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,1,1,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,2,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,14,19,0,0,33
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,2,1,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,4,0,1,1,6
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,2,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,5,0,0,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,9,7,2,3,21
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,3,1,0,2,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,8,6,0,0,14
