,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,2,0,2
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,7,4,3,2,16
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,7,3,0,0,10
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,13,11,1,3,28
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,1,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,1,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,7,7,0,0,14
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,1,1,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,2,1,0,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,5,3,0,0,8
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,2,1,0,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
ROBORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,2,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,2,0,0,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,17,15,4,3,39
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,1,0,1,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
