,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,7,4,3,2,16
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,13,11,1,3,28
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,1,0,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,1,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,1,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,5,0,0,6
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,2,1,0,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,6,5,0,0,11
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,2,0,0,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,1,0,0,2
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,2,0,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,15,72,2,1,90
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,1,0,1,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,0,0,1,1
