municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,28,28
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,235,235
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,534,534
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,155,155
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,11,11
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,37,37
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,104,104
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,55,55
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,41,41
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,34,34
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,32,32
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,60,60
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,13,13
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,102,102
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,57,57
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,31,31
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,472,472
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,464,464
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,9,9
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,65,65
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,129,129
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,71,71
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,45,45
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,141,141
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,8,8
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,5,5
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,15,15
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,1160,1160
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,137,137
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,12,12
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,13,13
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,72,72
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,72,72
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2012-01-01,164,164
