municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2012-01-01,19,19
ACHACACHI,otras actividades de enfermeria,sueros,2012-01-01,75,75
ACHOCALLA,otras actividades de enfermeria,sueros,2012-01-01,4,4
AIQUILE,otras actividades de enfermeria,sueros,2012-01-01,229,229
ALCALA,otras actividades de enfermeria,sueros,2012-01-01,17,17
ALTO BENI,otras actividades de enfermeria,sueros,2012-01-01,9,9
ANCORAIMES,otras actividades de enfermeria,sueros,2012-01-01,9,9
ANDAMARCA,otras actividades de enfermeria,sueros,2012-01-01,16,16
ANTEQUERA,otras actividades de enfermeria,sueros,2012-01-01,4,4
ANZALDO,otras actividades de enfermeria,sueros,2012-01-01,11,11
APOLO,otras actividades de enfermeria,sueros,2012-01-01,41,41
ARAMPAMPA,otras actividades de enfermeria,sueros,2012-01-01,8,8
ARANI,otras actividades de enfermeria,sueros,2012-01-01,22,22
ARBIETO,otras actividades de enfermeria,sueros,2012-01-01,11,11
ARQUE,otras actividades de enfermeria,sueros,2012-01-01,10,10
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2012-01-01,478,478
ATOCHA,otras actividades de enfermeria,sueros,2012-01-01,327,327
AUCAPATA,otras actividades de enfermeria,sueros,2012-01-01,2,2
AYATA,otras actividades de enfermeria,sueros,2012-01-01,20,20
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2012-01-01,40,40
AZURDUY,otras actividades de enfermeria,sueros,2012-01-01,51,51
BATALLAS,otras actividades de enfermeria,sueros,2012-01-01,17,17
BAURES,otras actividades de enfermeria,sueros,2012-01-01,48,48
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2012-01-01,2,2
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2012-01-01,1,1
BELLA FLOR,otras actividades de enfermeria,sueros,2012-01-01,13,13
BERMEJO,otras actividades de enfermeria,sueros,2012-01-01,900,900
BETANZOS,otras actividades de enfermeria,sueros,2012-01-01,90,90
BOLIVAR,otras actividades de enfermeria,sueros,2012-01-01,3,3
BOLPEBRA,otras actividades de enfermeria,sueros,2012-01-01,10,10
BOYUIBE,otras actividades de enfermeria,sueros,2012-01-01,32,32
BUENA VISTA,otras actividades de enfermeria,sueros,2012-01-01,28,28
CABEZAS,otras actividades de enfermeria,sueros,2012-01-01,206,206
CAIROMA,otras actividades de enfermeria,sueros,2012-01-01,18,18
"CAIZA ""D""",otras actividades de enfermeria,sueros,2012-01-01,4,4
CAJUATA,otras actividades de enfermeria,sueros,2012-01-01,22,22
CALACOTO,otras actividades de enfermeria,sueros,2012-01-01,2,2
CALAMARCA,otras actividades de enfermeria,sueros,2012-01-01,15,15
CAMARGO,otras actividades de enfermeria,sueros,2012-01-01,167,167
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2012-01-01,27,27
CAMIRI,otras actividades de enfermeria,sueros,2012-01-01,1828,1828
CAPINOTA,otras actividades de enfermeria,sueros,2012-01-01,76,76
