,group,variable,month,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS < 15,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 15 - 19,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 20 - 34,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 35 - 49,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,0,1,0,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,4,0,0,5
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,11,3,0,14
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,2,7,1,0,10
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,2,0,0,0,2
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,1,0,0,2
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,1,1,0,2
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,1,1,0,0,0,2
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,1,0,0,2
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,6,1,0,7
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,4,6,1,0,11
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,4,1,0,6
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,2,2,0,5
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,2,4,1,0,7
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,0,1,0,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,0,3,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias nuevas,2019-01-01,0,1,6,0,0,7
