,group,variable,month,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS < 15,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 15 - 19,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 20 - 34,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 35 - 49,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,0,2,0,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,3,15,21,6,45
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,2,25,14,6,47
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,5,33,20,10,68
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,1,0,0,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,1,0,7,6,4,18
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,6,5,0,11
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,1,1,13,11,11,37
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,3,1,1,5
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,1,0,0,1
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,6,14,9,29
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,1,0,0,1
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,1,3,2,0,6
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,0,3,2,0,5
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,1,3,19,10,2,35
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,1,3,3,0,7
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2019-01-01,0,23,81,28,6,138
