,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-01-01,0,0,6,5,1,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-01-01,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-01-01,0,0,0,2,0,2
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-01-01,0,0,0,0,0,0
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,5,2,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,0,3,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,0,2,0,2
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,0,0,0,0
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-02-01,0,0,1,3,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-03-01,0,0,2,5,1,8
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-03-01,0,0,1,2,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-03-01,0,0,0,2,0,2
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-03-01,0,0,0,0,0,0
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-03-01,0,0,2,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,5,4,0,9
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,0,2,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,2,0,4,6
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,13,0,0,0,13
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,0,0,0,0
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,3,1,0,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-04-01,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2019-05-01,0,0,1,2,0,3
