,group,variable,month,ÚMERO DE DIU INSERTADOS < 15,ÚMERO DE DIU INSERTADOS 15 - 19,ÚMERO DE DIU INSERTADOS 20 - 34,ÚMERO DE DIU INSERTADOS 35 - 49,ÚMERO DE DIU INSERTADOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,1,0,2
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,1,0,1,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,1,0,2
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,0,1,0,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,1,5,0,0,6
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,6,1,0,7
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,3,1,0,4
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,0,0,1
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,3,0,0,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,2,1,0,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,1,50,153,30,0,234
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,2,0,0,2
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,1,2,0,0,3
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,3,0,0,3
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,1,4,0,0,5
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",umero de diu insertados,2019-01-01,0,0,1,0,0,1
