,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,2,2,0,0,2,2,4
ALALAY,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,1,4,0,0,1,4,5
ANDAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,2,0,0,0,2,0,2
ARQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,3,0,0,0,3,0,3
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
BAURES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,3,10,0,0,3,10,13
BOLIVAR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,1,14,0,0,1,14,15
CAIROMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2019-01-01,2,0,0,0,2,0,2
