,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHIMORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,4,1,0,0,4,1,5
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,7,9,9,10,16,19,35
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,8,0,0,0,8,8
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,3,1,1,0,4,1,5
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,1,2,2,1,3,3,6
PAILON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,0,3,1,3,1,4
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,3,2,0,0,3,2,5
TARATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,1,5,0,0,1,5,6
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,5,6,0,0,5,6,11
VILLA MONTES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-01-01,0,0,3,6,3,6,9
