,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,15,46,0,47,15,62
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,20,0,0,0,20,20
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,15,0,0,3,15,18
ALALAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
ALCALA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,5,4,8,7,13,20
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,6,0,1,1,7,8
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,5,4,5,6,11
ANTEQUERA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,0,0,0,3,0,3
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,1,0,5,5
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,1,8,1,11,12
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,8,0,2,1,10,11
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,19,7,11,9,30,39
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,9,0,0,1,9,10
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,35,0,16,4,51,55
