,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,19,26,36,27,55,53,108
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,8,7,6,13,14,20,34
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,4,4,4,4,8
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,0,3,0,4,0,4
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,1,0,0,3,1,4
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,1,0,1,0,1
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,4,13,0,0,4,13,17
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,0,0,0,1,0,1
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,1,0,1,1
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,11,19,4,10,15,29,44
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,20,3,10,6,30,36
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,7,11,0,0,7,11,18
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,1,3,2,6,3,9
