,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,29,0,0,0,29,29
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,2,0,0,0,2,2
ARAMPAMPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,1,0,3,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,18,0,16,0,34,34
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,8,0,4,0,12,12
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,5,0,0,0,5,5
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,3,0,1,0,4,4
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,3,0,0,0,3,3
CALACOTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,1,0,1,0,2,2
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,2,0,0,0,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,2,0,0,0,2,2
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2019-01-01,0,27,0,3,0,30,30
