,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,24,28,20,24,44,52,96
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,5,4,3,5,8,13
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,6,2,20,21,26,23,49
ANTEQUERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,11,9,28,30,39,39,78
BAURES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,12,18,0,1,12,19,31
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,1,4,8,5,9,14
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,1,0,1,0,1
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,9,15,0,0,9,15,24
CALACOTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,5,3,2,7,7,10,17
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,7,4,19,12,26,16,42
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,8,3,0,0,8,3,11
CARIPUYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,10,10,10,10,20
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,13,11,32,52,45,63,108
CHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,1,2,1,2,3
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,24,26,24,26,50
