,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,4,0,0,0,4,4
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,7,0,0,0,7,7
CAIROMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CAMARGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,7,5,0,0,7,5,12
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,6,0,0,1,6,7
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,2,0,1,2,3,5
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,5,6,0,0,5,6,11
COLLANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
COLPA BELGICA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
