,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,3,0,42,0,45,45
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,1,10,0,0,1,10,11
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,2,1,3,1,5,2,7
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,1,1,5,1,6,7
ARAMPAMPA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
ARANI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,1,5,1,3,2,8,10
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,2,5,2,1,4,6,10
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,5,0,0,0,5,5
ATOCHA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,1,0,0,3,1,3,4
AYATA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,1,3,4,7,5,10,15
BATALLAS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,2,1,2,4,4,5,9
BELEN DE ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
