,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ARBIETO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,0,3,0,0,0,3,3
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
ATOCHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,4,2,0,0,4,2,6
CABEZAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,3,9,0,0,3,9,12
CARACOLLO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,2,1,0,0,2,1,3
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,1,0,2,1,3,4
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,14,42,0,0,14,42,56
CONCEPCION,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,0,3,0,0,0,3,3
COTOCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
