,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,0,44,46,44,46,90
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,1,0,1,1,2
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,2,0,0,0,2,2
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,4,0,1,3,5,8
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,16,19,0,1,16,20,36
COLLANA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,0,0,0,1,0,1
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,2,0,0,0,2,2
COROICO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,2,0,0,0,2,2
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,18,0,1,2,19,21
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,1,0,0,3,1,4
ESMERALDA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,3,0,0,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,2,0,0,1,2,3
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,0,0,3,0,3,3
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,1,0,3,2,4,6
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,76,94,103,35,179,129,308
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,0,0,0,1,0,1
