,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,0,4,2,2,2,6,8
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,16,0,0,1,16,17
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,2,1,0,0,2,1,3
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,1,27,2,28,3,31
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,0,0,3,1,3,4
ANTEQUERA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,0,3,0,3,0,6,6
ARAMPAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,0,0,5,3,5,3,8
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,8,1,6,2,14,16
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,3,6,5,14,8,20,28
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,3,19,1,1,4,20,24
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,2,12,0,0,2,12,14
ATOCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2019-01-01,1,2,0,0,1,2,3
