,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,3,2,0,8,3,10,13
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,5,19,2,8,7,27,34
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,3,22,2,3,5,25,30
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,3,8,0,0,3,8,11
ALALAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,0,0,6,3,6,3,9
ALCALA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,2,3,0,0,2,3,5
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,18,8,13,5,31,13,44
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,7,12,2,3,9,15,24
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,2,6,6,9,8,15,23
ANTEQUERA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,1,1,0,0,1,1,2
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,24,25,1,8,25,33,58
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,0,3,1,3,1,6,7
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,11,31,3,3,14,34,48
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,4,13,5,9,9,22,31
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2019-01-01,7,5,2,8,9,13,22
